"","dia_ocu","mes_ocu","año_ocu","dia_sem_ocu","hora_ocu","depto_ocu","tipo_veh","color_veh","causa_acc","num_hecho","zona_ocu","modelo_veh","marca_veh","mupio_ocu","g_hora","g_modelo_veh","g_hora_5","areag_ocu","sexo_pil","edad_pil","mayor_menor","estado_pil","corre_base","edad_quinquenales","g_edad"
"1",1,1,2009,4,7,18,9,99,2,18,NA,2005,NA,NA,2,4,NA,2,1,27,1,1,NA,NA,4
"2",1,1,2009,4,8,5,1,14,3,9,NA,1983,NA,NA,2,2,NA,2,1,39,1,1,NA,NA,6
"3",1,1,2009,4,8,9,3,6,2,17,NA,9999,NA,NA,2,6,NA,2,9,999,99,9,NA,NA,16
"4",1,1,2009,4,10,11,3,6,3,14,NA,9999,NA,NA,2,6,NA,2,9,999,99,9,NA,NA,16
"5",1,1,2009,4,10,14,3,6,2,3,NA,1993,NA,NA,2,3,NA,2,1,47,1,9,NA,NA,8
"6",1,1,2009,4,11,11,4,5,1,15,NA,2008,NA,NA,2,4,NA,2,1,30,1,1,NA,NA,5
"7",1,1,2009,4,12,1,1,4,1,1,NA,2003,NA,NA,3,4,NA,1,1,32,1,9,NA,NA,5
"8",1,1,2009,4,13,5,1,9,3,7,NA,2006,NA,NA,3,4,NA,2,1,23,1,1,NA,NA,3
"9",1,1,2009,4,15,4,1,2,1,19,NA,1995,NA,NA,3,3,NA,2,1,27,1,1,NA,NA,4
"10",1,1,2009,4,15,10,3,99,2,13,NA,9999,NA,NA,3,6,NA,2,9,999,99,9,NA,NA,16
"11",1,1,2009,4,16,5,3,2,2,10,NA,2008,NA,NA,3,4,NA,2,1,42,1,1,NA,NA,7
"12",1,1,2009,4,16,11,3,1,3,16,NA,1986,NA,NA,3,2,NA,2,1,26,1,1,NA,NA,4
"13",1,1,2009,4,16,21,9,9,1,6,NA,1994,NA,NA,3,3,NA,2,1,68,1,9,NA,NA,12
"14",1,1,2009,4,17,9,3,1,1,21,NA,9999,NA,NA,3,6,NA,2,9,999,99,9,NA,NA,16
"15",1,1,2009,4,18,3,1,5,1,20,NA,9999,NA,NA,4,6,NA,2,9,999,99,9,NA,NA,16
"16",1,1,2009,4,18,6,1,6,1,11,NA,2002,NA,NA,4,4,NA,2,1,35,1,1,NA,NA,6
"17",1,1,2009,4,18,22,2,1,1,5,NA,9999,NA,NA,4,6,NA,2,1,52,1,9,NA,NA,9
"18",1,1,2009,4,23,1,1,9,1,4,NA,1986,NA,NA,4,2,NA,2,1,40,1,9,NA,NA,7
"19",1,1,2009,4,23,1,4,5,1,2,NA,9999,NA,NA,4,6,NA,1,1,20,1,2,NA,NA,3
"20",1,1,2009,4,23,5,1,9,1,8,NA,2000,NA,NA,4,4,NA,1,1,41,1,1,NA,NA,7
"21",1,1,2009,4,23,10,3,2,1,12,NA,9999,NA,NA,4,6,NA,1,1,24,1,1,NA,NA,3
"22",1,1,2010,5,0,11,3,3,2,NA,99,9999,NA,NA,1,6,NA,2,1,54,1,1,NA,NA,9
"23",1,1,2010,5,0,17,1,1,3,NA,99,9999,NA,NA,1,6,NA,2,1,27,1,2,NA,NA,4
"24",1,1,2010,5,1,5,4,3,4,NA,99,9999,NA,NA,1,6,NA,2,1,35,1,2,NA,NA,6
"25",1,1,2010,5,1,13,3,99,4,NA,99,9999,NA,NA,1,6,NA,2,9,999,9,9,NA,NA,16
"26",1,1,2010,5,6,9,1,5,2,NA,2,1992,NA,NA,2,3,NA,1,1,23,1,9,NA,NA,3
"27",1,1,2010,5,12,11,4,1,4,NA,99,9999,NA,NA,3,6,NA,2,1,23,1,9,NA,NA,3
